id,Dest,Dest_lon,Dest_lat,Origin,Origin_lon,Origin_lat
135,CLT,-80.946,35.2226,BOS,-71.0281,42.3717
136,LAS,-115.143,36.0806,BOS,-71.0281,42.3717
137,PHX,-112.03,33.4376,BOS,-71.0281,42.3717
138,PHX,-112.03,33.4376,CLE,-81.8339,41.4115
139,LAS,-115.143,36.0806,CLT,-80.946,35.2226
140,PBI,-80.0889,26.6909,CLT,-80.946,35.2226
141,PHX,-112.03,33.4376,CLT,-80.946,35.2226
142,SAN,-117.195,32.7299,CLT,-80.946,35.2226
143,SEA,-122.296,47.4405,CLT,-80.946,35.2226
144,PHX,-112.03,33.4376,GEG,-117.538,47.625
145,PBI,-80.0889,26.6909,LAS,-115.143,36.0806
146,BOS,-71.0281,42.3717,SLC,-111.982,40.7862
147,SLC,-111.982,40.7862,IAD,-77.4484,38.9556
148,BOS,-71.0281,42.3717,PBI,-80.0889,26.6909
149,CLT,-80.946,35.2226,SLC,-111.982,40.7862
150,DAY,-84.2207,39.8968,BWI,-76.6745,39.1841
151,PWM,-70.3103,43.6475,BWI,-76.6745,39.1841
152,DAY,-84.2207,39.8968,LAS,-115.143,36.0806
153,LAS,-115.143,36.0806,MEM,-89.9823,35.047
154,LIT,-92.219,34.7278,MEM,-89.9823,35.047
155,MEM,-89.9823,35.047,BWI,-76.6745,39.1841
156,MEM,-89.9823,35.047,BNA,-86.6682,36.1342
157,OMA,-95.8998,41.3,MEM,-89.9823,35.047
158,SEA,-122.296,47.4405,MEM,-89.9823,35.047
159,CMH,-82.8877,39.9974,MEM,-89.9823,35.047
160,TUL,-95.8892,36.1877,MEM,-89.9823,35.047
161,MEM,-89.9823,35.047,JAX,-81.676,30.4914
162,TYS,-83.9889,35.8064,MEM,-89.9823,35.047
163,BOS,-71.0281,42.3717,MEM,-89.9823,35.047
164,SAV,-81.2133,32.1338,MEM,-89.9823,35.047
165,MEM,-89.9823,35.047,CLE,-81.8339,41.4115
166,SAN,-117.195,32.7299,BOS,-71.0281,42.3717
167,BOS,-71.0281,42.3717,SEA,-122.296,47.4405
168,SAN,-117.195,32.7299,SEA,-122.296,47.4405
169,SJC,-121.926,37.3679,BOS,-71.0281,42.3717
170,BWI,-76.6745,39.1841,IAH,-95.3424,29.9784
171,LAS,-115.143,36.0806,IAH,-95.3424,29.9784
172,RNO,-119.776,39.5064,IAH,-95.3424,29.9784
173,IAH,-95.3424,29.9784,CLE,-81.8339,41.4115
174,IAH,-95.3424,29.9784,SEA,-122.296,47.4405
175,SEA,-122.296,47.4405,CLE,-81.8339,41.4115
176,IAH,-95.3424,29.9784,BOS,-71.0281,42.3717
177,SAN,-117.195,32.7299,IAH,-95.3424,29.9784
178,IAH,-95.3424,29.9784,SJC,-121.926,37.3679
