source,target,Dest,Origin
22,16,SAT,ORD
13,28,BOS,PHL
20,26,LGA,CVG
20,22,ORD,CVG
9,20,CVG,DTW
20,16,SAT,CVG
20,3,STL,CVG
13,20,CVG,PHL
25,20,CVG,MEM
26,14,RDU,LGA
29,27,ATL,JFK
29,14,RDU,JFK
28,20,CVG,BOS
20,10,IAD,CVG
29,9,DTW,JFK
27,13,PHL,ATL
29,22,ORD,JFK
29,20,CVG,JFK
20,23,DFW,CVG
20,14,RDU,CVG
14,28,BOS,RDU
1,29,JFK,CLE
27,20,CVG,ATL
24,20,CVG,MSP
29,3,STL,JFK
29,13,PHL,JFK
14,27,ATL,RDU
20,1,CLE,CVG
28,29,JFK,BOS
27,3,STL,ATL
24,27,ATL,MSP
4,20,CVG,DEN
25,27,ATL,MEM
7,15,SAN,SLC
17,7,SLC,SFO
16,7,SLC,SAT
